#	0:	Info	|	1:	Map

[Textures]
0	Contra_Sprites.png
30	./Resources/Maps/ContraMapStage1TileSheet.png
40	./Resources/Maps/ContraMapStage3TileSheet.png
[Maps]
./Resources/Maps/Stage1Map.data
[Sprites]
10001	25	24	44	59	0
10002	90	27	110	58	0
10003	157	25	173	59	0
10011	1433	26	1458	59	0
10012	1368	27	1393	58	0
10013	1303	26	1326	59	0
10014	927	42	959	58	0
10015	1044	43	1076	59	0
10016	805	98	821	118	0
10017	868	99	887	115	0
10018	935	96	951	116	0
10019	999	99	1018	115	0
10020	1247	98	1263	118	0
10021	1181	99	1200	115	0
10022	1117	96	1133	116	0
10023	1050	99	1069	115	0
10024	742	26	765	59	0
10025	1303	26	1326	59	0
10026	808	14	822	59	0
10027	1181	15	1195	59	0
[Animations]
600	10001	100	10002	100	10003	100
601	10011	100	10012	100	10013	100
800	10014	100
801	10015	100
700	10016	100	10017	100	10018	100	10019	100
701	10020	100	10021	100	10022	100	10023	100
500	10024	100
501	10025	100
900	10026	100
901	10027	100
[Player]
2500	100	0
