#	0:	Info	|	1:	Map
#	[numRows	|	numColumns	|	numTileRows	|	numTileColumns	|	tileSize	|	TextureID	|	//gridSize]
[Info]
15	208	11	11	16	30
[Map]
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	2	2	3	2	2	3	4	5	1	6	4	5	1	1	4	2	2	2	3	3	4	5	1	6	4	5	1	6	4	5	1	6	4	5	1	6	4	5	1	1	4	1	1	2	2	1	1	2	2	2	3	1	1	2	2	2	3	2	3	1	1	2	2	1	1	1	1	1	1	2	3	2	2	1	1	2	3	3	4	5	1	1	4	2	3	7	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	10	1	1	1	1	1	1	1	1	1
6	5	6	2	6	5	6	11	12	13	14	11	12	13	14	2	6	5	6	2	6	11	12	13	14	11	12	13	14	11	12	13	14	11	12	13	14	11	12	13	14	2	1	1	6	5	1	1	6	5	6	2	1	1	6	5	6	2	6	2	1	1	6	5	1	1	1	1	1	1	6	2	6	5	1	1	6	2	6	11	12	13	14	2	6	2	15	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	20	21	1	1	1	1	1	1	1	1
2	3	1	1	1	1	22	23	24	25	26	23	24	25	27	1	1	1	1	1	22	23	24	25	26	23	24	25	26	23	24	25	26	23	24	25	26	23	24	25	27	1	2	2	2	3	1	1	1	1	1	1	2	2	2	3	2	2	2	2	1	1	1	1	2	3	2	3	1	1	2	2	1	1	1	1	1	1	22	23	24	25	27	1	2	2	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	30	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	9	8	31	32	33	34	35	36	36	36
6	2	1	1	1	1	37	38	39	40	37	41	39	40	1	1	1	1	1	1	37	38	39	40	37	41	39	40	37	41	39	40	37	41	39	40	37	41	39	40	1	1	6	5	6	2	1	1	1	1	1	1	6	5	6	2	6	5	6	5	1	1	1	1	6	2	6	2	1	1	6	5	1	1	1	1	1	1	37	38	39	40	1	1	6	5	42	43	42	43	42	43	42	43	42	43	42	43	42	43	42	43	42	43	42	43	42	43	42	43	42	43	42	43	42	43	42	43	28	29	28	29	28	29	28	29	28	29	42	43	42	43	42	43	42	43	42	43	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	42	43	42	43	28	29	44	45	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	46	47	48	49	50	51	51	51
1	1	52	53	53	54	53	55	52	53	53	55	52	53	52	53	53	54	53	54	53	54	53	55	52	53	53	54	53	54	53	55	53	55	52	53	53	54	53	54	52	53	53	54	53	54	53	55	1	1	2	3	1	1	1	1	52	53	53	54	53	54	53	54	53	55	1	1	1	1	1	1	1	1	52	53	53	54	53	54	53	54	53	54	53	55	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	28	29	28	29	28	29	28	29	28	29	56	57	56	57	56	57	56	57	56	57	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	56	57	56	57	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	58	59	49	50	60	60	60
1	1	61	62	63	64	65	66	61	62	65	66	61	62	61	62	63	64	63	64	63	64	65	66	61	62	63	64	63	64	65	66	65	66	61	62	63	64	63	64	61	62	63	64	63	64	65	66	1	1	6	2	1	1	1	1	61	62	63	64	63	64	63	64	65	66	1	1	1	1	1	1	1	1	61	62	63	64	63	64	63	64	63	64	65	66	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	42	43	42	43	42	43	42	43	42	43	67	68	67	68	67	68	67	68	67	68	28	29	42	43	42	43	28	29	28	29	28	29	28	29	28	29	42	43	67	68	67	68	28	29	42	43	42	43	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	42	43	42	43	42	43	42	43	28	29	28	29	28	69	70	71	50	60	60	60
1	1	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	72	73	72	73	72	73	72	73	56	57	56	57	56	57	56	57	56	57	72	73	72	73	72	73	72	73	56	57	56	57	56	57	56	57	56	57	56	57	56	57	56	57	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	56	57	56	57	56	57	56	57	56	57	56	57	56	57	74	75	74	75	74	75	74	75	28	29	56	57	56	57	28	29	28	29	28	29	28	29	28	29	56	57	56	57	74	75	28	29	56	57	56	57	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	28	29	56	57	56	57	56	57	56	57	28	29	28	29	28	76	77	78	50	60	60	60
1	1	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	79	80	80	80	80	80	80	81	67	68	67	68	67	68	67	68	67	68	79	80	80	80	80	80	80	81	67	68	67	68	67	68	67	68	67	68	67	68	67	68	67	68	82	83	82	83	82	83	82	83	82	83	82	83	82	83	82	83	82	83	82	83	82	83	82	83	82	83	67	68	67	68	67	68	67	68	67	68	67	68	67	68	82	83	82	83	82	83	82	83	42	43	67	68	67	68	28	29	42	43	42	43	28	29	28	29	67	68	67	68	82	83	28	29	67	68	67	68	42	43	42	43	42	43	42	43	28	29	28	29	28	29	28	29	28	29	42	43	42	43	67	68	67	68	67	68	67	68	42	43	28	29	28	84	85	86	50	60	60	60
87	87	74	75	74	75	74	75	74	75	56	57	56	57	56	57	74	75	74	75	74	75	74	75	74	75	56	57	56	57	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	87	87	87	87	87	87	87	87	74	75	74	75	74	75	74	75	74	75	87	87	87	87	87	87	87	87	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	56	57	56	57	56	57	56	57	56	57	56	57	56	57	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	74	75	56	57	56	57	56	57	74	75	28	29	56	57	56	57	28	29	28	29	74	75	74	75	74	75	28	29	74	75	56	57	56	57	56	57	56	57	56	57	28	29	28	29	28	29	28	29	28	29	56	57	56	57	74	75	74	75	74	75	74	75	56	57	28	29	28	88	89	90	91	92	92	92
